Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0106,0.0000,0.0000,0.0000,0.0000
0.0211,0.0033,0.0000,0.0000,0.0000
0.0316,0.0197,0.0000,0.0002,0.0000
0.0420,0.0364,0.0000,0.0006,0.0000
0.0524,0.0531,-0.0033,0.0012,-0.0000
0.0628,0.0629,0.0099,0.0018,0.0001
0.0733,0.0662,0.0397,0.0025,0.0005
0.0837,0.0762,0.0630,0.0033,0.0011
0.0941,0.0829,0.0796,0.0042,0.0020
0.1045,0.0995,0.0961,0.0052,0.0030
0.1149,0.1194,0.1160,0.0065,0.0042
0.1253,0.1298,0.1265,0.0078,0.0055
0.1357,0.1493,0.1426,0.0094,0.0070
0.1461,0.1592,0.1559,0.0110,0.0086
0.1565,0.1625,0.1757,0.0127,0.0104
0.1669,0.1893,0.2026,0.0147,0.0125
0.1773,0.1858,0.2156,0.0166,0.0148
0.1877,0.1960,0.2259,0.0186,0.0171
0.1981,0.2158,0.2424,0.0209,0.0196
0.2085,0.2254,0.2553,0.0232,0.0223
0.2189,0.2353,0.2751,0.0257,0.0252
0.2293,0.2627,0.2927,0.0284,0.0282
0.2397,0.2621,0.3052,0.0311,0.0314
0.2501,0.2789,0.3121,0.0340,0.0346
0.2605,0.2982,0.3214,0.0371,0.0380
0.2709,0.3083,0.3381,0.0403,0.0415
0.2813,0.3155,0.3554,0.0436,0.0452
0.2917,0.3383,0.3649,0.0471,0.0490
0.3021,0.3515,0.3747,0.0508,0.0529
0.3125,0.3654,0.3787,0.0546,0.0568
0.3229,0.3716,0.3948,0.0585,0.0609
0.3333,0.3854,0.3920,0.0625,0.0650
0.3437,0.3854,0.4120,0.0665,0.0693
0.3541,0.4005,0.4170,0.0707,0.0736
0.3645,0.4085,0.4417,0.0749,0.0782
0.3749,0.4180,0.4445,0.0792,0.0828
0.3853,0.4211,0.4510,0.0836,0.0875
0.3957,0.4354,0.4587,0.0882,0.0923
0.4061,0.4446,0.4645,0.0928,0.0971
0.4165,0.4451,0.4717,0.0974,0.1020
0.4269,0.4518,0.4784,0.1021,0.1070
0.4373,0.4578,0.4909,0.1069,0.1121
0.4477,0.4727,0.4993,0.1118,0.1173
0.4581,0.4667,0.4998,0.1166,0.1225
0.4685,0.4742,0.5007,0.1216,0.1277
0.4789,0.4814,0.5246,0.1266,0.1332
0.4893,0.4888,0.5121,0.1316,0.1385
0.4997,0.4814,0.5113,0.1366,0.1438
0.5101,0.4927,0.5324,0.1418,0.1493
0.5205,0.5048,0.5314,0.1470,0.1549
0.5309,0.4984,0.5250,0.1522,0.1603
0.5413,0.5010,0.5375,0.1574,0.1659
0.5517,0.5081,0.5413,0.1627,0.1715
0.5621,0.5029,0.5426,0.1679,0.1772
0.5725,0.5082,0.5514,0.1732,0.1829
0.5829,0.5139,0.5536,0.1786,0.1887
0.5933,0.5150,0.5549,0.1839,0.1945
0.6037,0.5076,0.5607,0.1892,0.2003
0.6141,0.5106,0.5769,0.1945,0.2063
0.6245,0.5151,0.5650,0.1999,0.2122
0.6349,0.5139,0.5769,0.2052,0.2182
