Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0105,0.0000,0.0000,0.0000,0.0000
0.0209,0.0232,0.0000,0.0002,0.0000
0.0314,0.0363,0.0000,0.0006,0.0000
0.0418,0.0496,0.0066,0.0011,0.0001
0.0523,0.0595,0.0231,0.0018,0.0003
0.0627,0.0692,0.0494,0.0025,0.0008
0.0736,0.0700,0.0732,0.0032,0.0016
0.0840,0.0826,0.0925,0.0041,0.0026
0.0944,0.0994,0.1027,0.0051,0.0037
0.1049,0.1158,0.1125,0.0064,0.0048
0.1153,0.1391,0.1258,0.0078,0.0061
0.1257,0.1493,0.1394,0.0094,0.0076
0.1361,0.1690,0.1557,0.0111,0.0092
0.1467,0.1758,0.1693,0.0130,0.0110
0.1571,0.1950,0.1917,0.0150,0.0130
0.1676,0.2119,0.2086,0.0172,0.0152
0.1780,0.2248,0.2182,0.0196,0.0175
0.1884,0.2449,0.2250,0.0221,0.0198
0.1989,0.2643,0.2412,0.0249,0.0223
0.2093,0.2777,0.2546,0.0278,0.0250
0.2198,0.3011,0.2746,0.0309,0.0279
0.2302,0.3214,0.2816,0.0343,0.0308
0.2406,0.3341,0.2977,0.0378,0.0339
0.2510,0.3442,0.3210,0.0413,0.0372
0.2615,0.3638,0.3406,0.0451,0.0408
0.2721,0.3800,0.3638,0.0492,0.0447
0.2828,0.3986,0.3759,0.0534,0.0487
0.2933,0.4045,0.3980,0.0577,0.0529
0.3039,0.4075,0.4173,0.0620,0.0573
0.3145,0.4256,0.4418,0.0665,0.0620
0.3252,0.4324,0.4649,0.0711,0.0669
0.3356,0.4395,0.4726,0.0757,0.0719
0.3460,0.4397,0.5025,0.0803,0.0771
0.3565,0.4537,0.5232,0.0850,0.0826
0.3669,0.4601,0.5428,0.0898,0.0882
0.3773,0.4639,0.5666,0.0947,0.0941
0.3877,0.4667,0.5760,0.0995,0.1001
0.3982,0.4869,0.5863,0.1046,0.1062
0.4086,0.4832,0.6122,0.1097,0.1126
0.4190,0.4806,0.6232,0.1147,0.1191
0.4295,0.4982,0.6359,0.1199,0.1258
0.4400,0.5165,0.6655,0.1253,0.1327
0.4504,0.5306,0.6500,0.1308,0.1395
0.4608,0.5347,0.6509,0.1364,0.1463
0.4712,0.5423,0.6746,0.1420,0.1533
0.4816,0.5657,0.6848,0.1479,0.1605
0.4920,0.5705,0.6899,0.1539,0.1676
0.5024,0.5834,0.6994,0.1599,0.1749
0.5129,0.5969,0.7063,0.1662,0.1823
0.5233,0.6068,0.7163,0.1725,0.1897
0.5337,0.6192,0.7119,0.1789,0.1971
0.5441,0.6232,0.7259,0.1854,0.2047
0.5545,0.6397,0.7226,0.1921,0.2122
0.5650,0.6494,0.7285,0.1989,0.2199
0.5755,0.6502,0.7323,0.2057,0.2276
0.5859,0.6579,0.7339,0.2126,0.2352
0.5963,0.6600,0.7263,0.2194,0.2428
0.6068,0.6592,0.7188,0.2263,0.2503
0.6172,0.6685,0.7413,0.2333,0.2580
0.6276,0.6623,0.7153,0.2402,0.2655
0.6380,0.6731,0.7328,0.2472,0.2731
0.6484,0.6765,0.7295,0.2542,0.2807
0.6588,0.6694,0.7291,0.2612,0.2883
0.6693,0.6778,0.7406,0.2683,0.2960
0.6800,0.6714,0.7328,0.2755,0.3038
0.6904,0.6783,0.7378,0.2825,0.3115
0.7008,0.6781,0.7343,0.2896,0.3192
0.7113,0.6810,0.7438,0.2967,0.3270
0.7217,0.6858,0.7388,0.3039,0.3347
0.7321,0.6858,0.7355,0.3110,0.3423
0.7425,0.6968,0.7433,0.3183,0.3500
0.7529,0.6994,0.7292,0.3255,0.3576
0.7634,0.6959,0.7388,0.3328,0.3654
0.7740,0.7086,0.7313,0.3403,0.3731
0.7847,0.6971,0.7328,0.3478,0.3809
0.7953,0.7080,0.7177,0.3553,0.3886
0.8060,0.7049,0.7342,0.3628,0.3964
0.8166,0.7127,0.7127,0.3704,0.4040
0.8273,0.7002,0.7197,0.3779,0.4117
0.8379,0.7053,0.7216,0.3854,0.4193
0.8486,0.7130,0.7098,0.3930,0.4269
0.8597,0.7051,0.7176,0.4008,0.4349
0.8708,0.7105,0.7137,0.4087,0.4428
0.8820,0.7006,0.7098,0.4166,0.4508
0.8936,0.7055,0.7055,0.4247,0.4589
0.9043,0.7128,0.7288,0.4324,0.4668
0.9151,0.7042,0.7171,0.4400,0.4745
0.9258,0.6996,0.7190,0.4474,0.4822
0.9365,0.7035,0.7261,0.4550,0.4899
0.9472,0.7070,0.7166,0.4626,0.4976
