Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
6.3722,0.2067,0.2676,1.2818,1.5535
6.4227,0.2066,0.2689,1.2922,1.5670
6.4731,0.2026,0.2751,1.3024,1.5809
6.5236,0.2046,0.2744,1.3127,1.5947
6.5740,0.2073,0.2744,1.3232,1.6086
6.6244,0.2088,0.2731,1.3337,1.6224
6.6749,0.2086,0.2716,1.3442,1.6361
6.7253,0.2067,0.2676,1.3547,1.6496
6.7758,0.2114,0.2723,1.3653,1.6633
6.8264,0.2094,0.2701,1.3759,1.6770
6.8768,0.2114,0.2682,1.3866,1.6905
6.9272,0.2143,0.2670,1.3974,1.7039
6.9777,0.2142,0.2689,1.4082,1.7175
