Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,-4.9919,0.0000,-0.0000,0.0000
0.0116,0.0000,0.0000,-0.0000,0.0000
0.0220,0.0166,0.0000,0.0001,0.0000
0.0325,0.0264,0.0000,0.0004,0.0000
0.0429,0.0465,0.0000,0.0009,0.0000
0.0533,0.0596,0.0066,0.0015,0.0001
0.0637,0.0728,0.0265,0.0023,0.0003
0.0742,0.0661,0.0562,0.0030,0.0009
0.0846,0.0694,0.0892,0.0037,0.0019
0.0951,0.0891,0.1023,0.0046,0.0029
0.1055,0.0894,0.1192,0.0056,0.0042
0.1159,0.1160,0.1358,0.0068,0.0056
0.1264,0.1290,0.1554,0.0081,0.0072
0.1368,0.1326,0.1624,0.0095,0.0089
0.1472,0.1488,0.1918,0.0110,0.0109
0.1576,0.1521,0.2083,0.0126,0.0131
0.1681,0.1688,0.2283,0.0144,0.0155
0.1785,0.1819,0.2514,0.0163,0.0181
0.1889,0.1818,0.2578,0.0182,0.0208
0.1994,0.2022,0.2784,0.0203,0.0237
0.2098,0.2114,0.2906,0.0225,0.0267
0.2202,0.2282,0.3010,0.0249,0.0299
0.2307,0.2482,0.3144,0.0275,0.0331
0.2411,0.2618,0.3247,0.0302,0.0365
0.2515,0.2776,0.3404,0.0331,0.0401
0.2620,0.2915,0.3578,0.0361,0.0438
0.2724,0.3037,0.3598,0.0393,0.0476
0.2828,0.3209,0.3705,0.0427,0.0514
0.2933,0.3314,0.3845,0.0461,0.0554
0.3037,0.3506,0.4036,0.0498,0.0596
0.3141,0.3574,0.4169,0.0535,0.0640
0.3246,0.3696,0.4224,0.0574,0.0684
0.3350,0.3778,0.4309,0.0613,0.0729
0.3454,0.3909,0.4472,0.0654,0.0776
0.3558,0.4037,0.4500,0.0696,0.0822
0.3663,0.4062,0.4524,0.0738,0.0870
0.3769,0.4170,0.4626,0.0782,0.0919
0.3873,0.4296,0.4725,0.0827,0.0968
0.3978,0.4268,0.4765,0.0872,0.1018
0.4082,0.4407,0.4871,0.0918,0.1069
0.4186,0.4398,0.4894,0.0964,0.1120
0.4291,0.4558,0.4954,0.1011,0.1171
0.4395,0.4581,0.5012,0.1059,0.1224
0.4499,0.4543,0.5107,0.1106,0.1277
0.4603,0.4696,0.5158,0.1155,0.1331
0.4708,0.4787,0.5084,0.1205,0.1384
0.4812,0.4793,0.5190,0.1255,0.1438
0.4916,0.4843,0.5274,0.1306,0.1493
0.5021,0.4927,0.5258,0.1357,0.1548
0.5125,0.4922,0.5220,0.1409,0.1602
0.5231,0.4923,0.5379,0.1461,0.1659
0.5335,0.4970,0.5401,0.1512,0.1715
0.5439,0.4963,0.5294,0.1564,0.1771
0.5544,0.5024,0.5421,0.1617,0.1827
0.5650,0.5061,0.5516,0.1671,0.1886
0.5754,0.5104,0.5469,0.1724,0.1943
0.5859,0.5124,0.5554,0.1777,0.2001
0.5965,0.5172,0.5628,0.1832,0.2061
0.6069,0.5168,0.5598,0.1886,0.2119
0.6173,0.5160,0.5689,0.1940,0.2178
0.6279,0.5175,0.5794,0.1995,0.2240
0.6384,0.5202,0.5700,0.2049,0.2299
0.6490,0.5205,0.5790,0.2104,0.2360
0.6594,0.5243,0.5840,0.2159,0.2421
0.6698,0.5294,0.5856,0.2214,0.2482
0.6804,0.5315,0.5866,0.2270,0.2545
0.6909,0.5308,0.5806,0.2326,0.2605
0.7013,0.5292,0.5822,0.2381,0.2666
0.7119,0.5374,0.5993,0.2438,0.2729
0.7223,0.5371,0.5869,0.2494,0.2791
0.7327,0.5356,0.5786,0.2550,0.2851
0.7433,0.5404,0.5958,0.2607,0.2914
0.7537,0.5407,0.5872,0.2663,0.2975
0.7641,0.5404,0.5902,0.2719,0.3037
0.7746,0.5465,0.5995,0.2776,0.3099
0.7850,0.5456,0.5919,0.2833,0.3161
0.7956,0.5536,0.5959,0.2892,0.3224
0.8060,0.5511,0.5976,0.2949,0.3286
0.8166,0.5471,0.5959,0.3007,0.3349
0.8272,0.5460,0.6012,0.3065,0.3413
0.8378,0.5530,0.6083,0.3124,0.3478
0.8484,0.5502,0.6055,0.3182,0.3542
0.8590,0.5398,0.6081,0.3240,0.3606
0.8697,0.5510,0.6126,0.3298,0.3672
0.8804,0.5428,0.6038,0.3357,0.3737
0.8918,0.5431,0.6068,0.3418,0.3806
0.9023,0.5431,0.6155,0.3475,0.3870
0.9128,0.5435,0.6126,0.3532,0.3934
0.9233,0.5388,0.6177,0.3589,0.3999
0.9338,0.5437,0.6064,0.3646,0.4063
0.9444,0.5396,0.6274,0.3703,0.4129
0.9550,0.5369,0.6085,0.3760,0.4194
0.9656,0.5456,0.6171,0.3818,0.4259
0.9762,0.5520,0.6169,0.3877,0.4325
0.9868,0.5381,0.6098,0.3934,0.4390
0.9975,0.5512,0.6095,0.3992,0.4454
1.0079,0.5566,0.6195,0.4050,0.4519
1.0185,0.5413,0.6065,0.4108,0.4583
1.0291,0.5531,0.6117,0.4166,0.4648
1.0395,0.5532,0.6195,0.4224,0.4713
1.0501,0.5479,0.6163,0.4282,0.4778
1.0607,0.5494,0.6177,0.4340,0.4843
1.0715,0.5532,0.6171,0.4400,0.4910
1.0821,0.5455,0.6170,0.4458,0.4976
1.0928,0.5510,0.6223,0.4517,0.5042
1.1034,0.5634,0.6184,0.4577,0.5108
1.1140,0.5448,0.6198,0.4634,0.5173
1.1247,0.5476,0.6221,0.4693,0.5240
1.1352,0.5583,0.6203,0.4752,0.5305
1.1458,0.5439,0.6286,0.4809,0.5372
1.1565,0.5442,0.6155,0.4867,0.5437
1.1671,0.5516,0.6168,0.4926,0.5503
1.1777,0.5435,0.6281,0.4983,0.5569
1.1883,0.5390,0.6202,0.5041,0.5635
1.1989,0.5413,0.6196,0.5098,0.5701
1.2095,0.5404,0.6251,0.5155,0.5767
1.2201,0.5432,0.6148,0.5213,0.5832
1.2307,0.5473,0.6287,0.5271,0.5899
1.2413,0.5432,0.6245,0.5328,0.5965
1.2519,0.5412,0.6162,0.5386,0.6030
1.2623,0.5496,0.6225,0.5443,0.6095
1.2729,0.5452,0.6134,0.5501,0.6161
