Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0107,0.0032,0.0000,0.0000,0.0000
0.0214,0.0259,0.0032,0.0003,0.0000
0.0321,0.0449,0.0000,0.0008,0.0000
0.0431,0.0630,0.0000,0.0015,0.0000
0.0539,0.0737,0.0000,0.0023,0.0000
0.0645,0.0908,0.0162,0.0032,0.0002
0.0752,0.1098,0.0387,0.0044,0.0006
0.0858,0.1172,0.0586,0.0057,0.0012
0.0965,0.1292,0.0743,0.0070,0.0020
0.1071,0.1497,0.0911,0.0086,0.0030
0.1179,0.1668,0.1027,0.0104,0.0041
0.1285,0.1821,0.1203,0.0124,0.0054
0.1391,0.1945,0.1329,0.0144,0.0068
0.1498,0.2041,0.1555,0.0166,0.0085
0.1604,0.2170,0.1846,0.0189,0.0104
0.1711,0.2170,0.2073,0.0212,0.0126
0.1818,0.2294,0.2326,0.0237,0.0151
0.1925,0.2227,0.2485,0.0261,0.0178
0.2031,0.2397,0.2786,0.0286,0.0207
0.2138,0.2487,0.2972,0.0313,0.0239
0.2244,0.2507,0.3256,0.0339,0.0274
0.2351,0.2617,0.3489,0.0367,0.0311
0.2458,0.2619,0.3654,0.0395,0.0350
0.2564,0.2744,0.3810,0.0425,0.0391
0.2671,0.2823,0.4024,0.0455,0.0434
0.2778,0.2925,0.4274,0.0486,0.0479
0.2885,0.2977,0.4336,0.0518,0.0526
0.2992,0.3127,0.4545,0.0551,0.0574
0.3099,0.3102,0.4685,0.0584,0.0624
0.3205,0.3187,0.4910,0.0618,0.0676
0.3312,0.3358,0.5036,0.0654,0.0730
0.3423,0.3461,0.4958,0.0692,0.0785
0.3529,0.3520,0.5199,0.0730,0.0841
0.3636,0.3585,0.5297,0.0768,0.0897
0.3743,0.3683,0.5331,0.0808,0.0954
0.3849,0.3898,0.5425,0.0849,0.1012
0.3956,0.4002,0.5551,0.0892,0.1071
0.4063,0.4004,0.5522,0.0935,0.1130
0.4170,0.4180,0.5606,0.0979,0.1190
0.4277,0.4326,0.5779,0.1025,0.1252
0.4389,0.4498,0.5700,0.1076,0.1316
0.4496,0.4552,0.5940,0.1124,0.1379
0.4606,0.4638,0.5946,0.1176,0.1445
0.4713,0.4781,0.6041,0.1227,0.1510
0.4819,0.4878,0.6049,0.1279,0.1574
0.4926,0.4918,0.6115,0.1331,0.1639
0.5033,0.5081,0.6149,0.1385,0.1705
0.5139,0.5048,0.6213,0.1439,0.1771
0.5246,0.5114,0.6182,0.1494,0.1837
0.5353,0.5215,0.6252,0.1549,0.1903
0.5462,0.5323,0.6237,0.1608,0.1972
0.5569,0.5213,0.6216,0.1663,0.2038
0.5679,0.5335,0.6371,0.1722,0.2108
0.5789,0.5401,0.6244,0.1782,0.2177
0.5897,0.5235,0.6295,0.1838,0.2245
0.6003,0.5359,0.6398,0.1895,0.2313
0.6109,0.5513,0.6292,0.1954,0.2380
0.6216,0.5394,0.6427,0.2011,0.2448
0.6322,0.5432,0.6343,0.2069,0.2516
0.6429,0.5719,0.6564,0.2130,0.2585
0.6539,0.5333,0.6306,0.2188,0.2655
0.6645,0.5529,0.6402,0.2247,0.2723
0.6752,0.5630,0.6471,0.2307,0.2792
0.6859,0.5469,0.6472,0.2366,0.2861
0.6965,0.5584,0.6493,0.2425,0.2930
0.7072,0.5660,0.6533,0.2485,0.3000
0.7178,0.5610,0.6555,0.2545,0.3069
0.7284,0.5655,0.6560,0.2605,0.3139
0.7392,0.5702,0.6567,0.2667,0.3210
0.7498,0.5652,0.6593,0.2727,0.3280
0.7605,0.5759,0.6503,0.2788,0.3350
0.7716,0.5804,0.6549,0.2853,0.3422
0.7823,0.5747,0.6624,0.2914,0.3493
0.7929,0.5825,0.6602,0.2976,0.3563
0.8037,0.5814,0.6457,0.3038,0.3633
0.8143,0.5783,0.6627,0.3100,0.3703
0.8249,0.5892,0.6507,0.3163,0.3772
0.8356,0.5878,0.6492,0.3225,0.3842
0.8463,0.5886,0.6533,0.3288,0.3912
0.8573,0.5944,0.6476,0.3354,0.3983
0.8681,0.5895,0.6540,0.3417,0.4053
0.8788,0.5854,0.6466,0.3480,0.4122
