Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0015,0.0000,0.0000,0.0000,0.0000,2.4,1.8,0.0036
0.0028,0.0000,0.0000,0.0000,0.0000,4.6,3.5,0.0070
0.0041,0.0000,0.0000,0.0000,0.0000,6.8,5.2,0.0103
0.0054,0.0000,0.0000,0.0000,0.0000,9.0,6.9,0.0136
0.0068,0.0000,0.0000,0.0000,0.0000,11.3,8.6,0.0169
0.0082,0.0000,0.0000,0.0000,0.0000,13.6,10.4,0.0204
0.0096,0.0000,0.0000,0.0000,0.0000,16.0,12.3,0.0240
0.0109,0.0000,0.0000,0.0000,0.0000,18.3,14.1,0.0273
0.0123,0.0000,0.0000,0.0000,0.0000,20.6,15.8,0.0307
0.0136,0.0000,0.0000,0.0000,0.0000,22.9,17.7,0.0341
0.0150,0.0000,0.0000,0.0000,0.0000,25.3,19.5,0.0376
0.0164,0.0000,0.0000,0.0000,0.0000,27.6,21.3,0.0409
0.0177,0.0000,0.0000,0.0000,0.0000,29.9,23.1,0.0442
0.0191,0.0000,0.0000,0.0000,0.0000,32.3,25.0,0.0477
0.0205,0.0000,0.0000,0.0000,0.0000,34.8,26.9,0.0512
0.0218,0.0000,0.0000,0.0000,0.0000,37.0,28.7,0.0545
0.0231,0.0000,0.0000,0.0000,0.0000,39.4,30.6,0.0578
0.0245,0.0000,0.0000,0.0000,0.0000,41.8,32.5,0.0612
0.0259,0.0000,0.0000,0.0000,0.0000,44.3,34.5,0.0647
0.0273,0.0000,0.0000,0.0000,0.0000,46.8,36.4,0.0682
0.0287,0.0000,0.0000,0.0000,0.0000,49.3,38.4,0.0718
0.0301,0.0000,0.0000,0.0000,0.0000,51.7,40.4,0.0752
0.0315,0.0000,0.0000,0.0000,0.0000,54.4,42.5,0.0789
0.0329,0.0000,0.0000,0.0000,0.0000,56.8,44.4,0.0822
0.0343,0.0000,0.0000,0.0000,0.0000,59.3,46.5,0.0857
0.0357,0.0000,0.0000,0.0000,0.0000,61.9,48.5,0.0892
0.0370,0.0000,0.0000,0.0000,0.0000,64.2,50.4,0.0925
0.0383,0.0000,0.0000,0.0000,0.0000,66.6,52.3,0.0958
0.0396,0.0000,0.0000,0.0000,0.0000,69.1,54.3,0.0991
0.0411,0.0000,0.0000,0.0000,0.0000,71.8,56.5,0.1028
0.0425,0.0000,0.0000,0.0000,0.0000,74.4,58.6,0.1064
0.0440,0.0000,0.0000,0.0000,0.0000,77.1,60.8,0.1099
0.0454,0.0000,0.0000,0.0000,0.0000,79.7,62.9,0.1134
0.0468,0.0000,0.0000,0.0000,0.0000,82.3,65.1,0.1169
0.0482,0.0000,0.0000,0.0000,0.0000,84.9,67.2,0.1204
0.0495,0.0000,0.0000,0.0000,0.0000,87.4,69.2,0.1237
0.0508,0.0000,0.0000,0.0000,0.0000,89.9,71.2,0.1270
0.0522,0.0000,0.0000,0.0000,0.0000,92.5,73.4,0.1304
