Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0505,0.0150,0.0424,0.0008,0.0021
0.1009,0.0657,0.1410,0.0041,0.0092
0.1514,0.1244,0.2222,0.0104,0.0205
0.2018,0.1840,0.2805,0.0196,0.0346
0.2522,0.2355,0.3607,0.0315,0.0528
0.3027,0.2785,0.4639,0.0456,0.0762
0.3532,0.3221,0.5677,0.0618,0.1049
0.4036,0.3729,0.6569,0.0806,0.1380
0.4540,0.4223,0.7085,0.1019,0.1737
0.5045,0.4661,0.7344,0.1254,0.2107
0.5550,0.4948,0.7548,0.1504,0.2489
0.6062,0.5359,0.7692,0.1779,0.2883
0.6567,0.5839,0.7714,0.2073,0.3272
0.7074,0.6275,0.7675,0.2392,0.3662
0.7583,0.6616,0.7632,0.2729,0.4050
0.8091,0.6705,0.7603,0.3069,0.4436
0.8598,0.6676,0.7486,0.3408,0.4816
0.9106,0.6717,0.7384,0.3749,0.5191
0.9616,0.6848,0.7308,0.4098,0.5564
1.0123,0.7026,0.7210,0.4454,0.5929
1.0631,0.7100,0.7107,0.4815,0.6290
1.1138,0.7053,0.6972,0.5173,0.6644
1.1646,0.7093,0.6950,0.5533,0.6996
1.2153,0.7161,0.6950,0.5896,0.7349
1.2662,0.7239,0.7022,0.6264,0.7706
1.3169,0.7197,0.7047,0.6630,0.8064
1.3677,0.7141,0.7087,0.6992,0.8424
1.4185,0.7077,0.7131,0.7351,0.8786
1.4689,0.6976,0.7181,0.7703,0.9148
1.5196,0.6928,0.7139,0.8055,0.9510
1.5704,0.6943,0.7175,0.8407,0.9874
1.6211,0.6903,0.7182,0.8757,1.0239
1.6716,0.6930,0.7251,0.9107,1.0605
1.7221,0.6864,0.7295,0.9454,1.0973
1.7726,0.6939,0.7315,0.9804,1.1342
1.8230,0.7043,0.7214,1.0159,1.1706
1.8735,0.7090,0.7097,1.0517,1.2065
1.9240,0.7010,0.7161,1.0871,1.2426
1.9745,0.6921,0.7222,1.1220,1.2790
2.0249,0.6990,0.7140,1.1573,1.3151
2.0754,0.7131,0.7036,1.1933,1.3506
2.1260,0.7215,0.7078,1.2298,1.3864
2.1767,0.7222,0.7167,1.2664,1.4228
2.2272,0.7154,0.7154,1.3025,1.4589
2.2776,0.7178,0.7048,1.3388,1.4944
2.3281,0.7212,0.7028,1.3751,1.5299
2.3785,0.7233,0.7164,1.4116,1.5660
2.4289,0.7192,0.7082,1.4479,1.6017
2.4794,0.7177,0.7047,1.4841,1.6373
2.5298,0.7200,0.7056,1.5204,1.6729
2.5803,0.7240,0.7138,1.5569,1.7089
2.6307,0.7220,0.7090,1.5933,1.7446
2.6811,0.7142,0.7060,1.6294,1.7802
2.7316,0.7071,0.7051,1.6651,1.8158
2.7820,0.6919,0.7199,1.6999,1.8521
2.8325,0.7002,0.7186,1.7353,1.8884
2.8829,0.7000,0.7034,1.7706,1.9238
2.9333,0.6990,0.7086,1.8058,1.9596
2.9837,0.6900,0.7243,1.8406,1.9961
3.0342,0.6757,0.7229,1.8747,2.0326
3.0846,0.6878,0.7193,1.9094,2.0688
3.1351,0.7016,0.7153,1.9448,2.1049
3.1855,0.7061,0.7171,1.9804,2.1411
3.2360,0.7020,0.7232,2.0158,2.1776
3.2864,0.6905,0.7288,2.0506,2.2143
3.3368,0.6880,0.7298,2.0853,2.2511
3.3872,0.6960,0.7227,2.1204,2.2876
3.4377,0.7107,0.7155,2.1563,2.3237
3.4881,0.7125,0.7145,2.1922,2.3597
3.5385,0.7085,0.7201,2.2279,2.3960
3.5890,0.7075,0.7150,2.2636,2.4321
