Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0505,0.0205,0.0198,0.0010,0.0010
0.1009,0.0958,0.0849,0.0059,0.0053
0.1514,0.1738,0.1416,0.0146,0.0124
0.2018,0.2402,0.2046,0.0267,0.0227
0.2522,0.2957,0.2684,0.0417,0.0363
0.3026,0.3389,0.3238,0.0587,0.0526
0.3530,0.3682,0.3689,0.0773,0.0712
0.4034,0.3814,0.4027,0.0965,0.0915
0.4539,0.4011,0.4339,0.1168,0.1134
0.5043,0.4194,0.4666,0.1379,0.1369
0.5548,0.4345,0.4824,0.1598,0.1613
0.6052,0.4490,0.4976,0.1825,0.1863
0.6556,0.4605,0.5105,0.2057,0.2121
0.7061,0.4729,0.5188,0.2296,0.2383
0.7565,0.4796,0.5358,0.2538,0.2653
0.8069,0.4827,0.5416,0.2781,0.2926
0.8573,0.4836,0.5473,0.3025,0.3202
0.9077,0.4826,0.5497,0.3268,0.3479
0.9582,0.4847,0.5585,0.3513,0.3761
1.0088,0.4879,0.5651,0.3759,0.4046
1.0592,0.4906,0.5686,0.4007,0.4333
1.1097,0.4894,0.5702,0.4254,0.4621
1.1601,0.4866,0.5776,0.4499,0.4912
1.2105,0.4809,0.5766,0.4742,0.5203
1.2613,0.4862,0.5835,0.4988,0.5499
1.3117,0.4865,0.5871,0.5234,0.5795
1.3622,0.4879,0.5823,0.5480,0.6089
1.4126,0.4880,0.5824,0.5726,0.6383
1.4630,0.4838,0.5838,0.5970,0.6677
1.5135,0.4804,0.5906,0.6212,0.6975
1.5639,0.4792,0.5962,0.6454,0.7276
1.6144,0.4735,0.5987,0.6693,0.7578
1.6649,0.4674,0.5925,0.6929,0.7877
1.7153,0.4728,0.5946,0.7167,0.8177
1.7657,0.4668,0.5969,0.7403,0.8478
1.8165,0.4655,0.6041,0.7639,0.8785
1.8673,0.4570,0.6066,0.7871,0.9093
1.9180,0.4487,0.6092,0.8099,0.9402
1.9685,0.4486,0.6052,0.8325,0.9707
2.0189,0.4475,0.6049,0.8551,1.0012
2.0694,0.4502,0.6069,0.8778,1.0318
2.1198,0.4509,0.6062,0.9006,1.0624
2.1703,0.4550,0.6076,0.9235,1.0931
2.2207,0.4557,0.6104,0.9465,1.1239
2.2712,0.4611,0.6076,0.9698,1.1545
2.3216,0.4632,0.6049,0.9931,1.1850
2.3720,0.4557,0.6076,1.0161,1.2157
2.4225,0.4578,0.6090,1.0392,1.2464
2.4729,0.4592,0.6138,1.0624,1.2773
2.5234,0.4626,0.6097,1.0857,1.3081
2.5738,0.4680,0.6028,1.1093,1.3385
2.6243,0.4725,0.6018,1.1331,1.3689
2.6747,0.4739,0.6065,1.1571,1.3995
2.7252,0.4709,0.6035,1.1808,1.4300
2.7757,0.4701,0.6036,1.2046,1.4604
2.8261,0.4709,0.6031,1.2283,1.4908
2.8766,0.4693,0.6047,1.2520,1.5213
2.9270,0.4736,0.6077,1.2759,1.5520
2.9776,0.4757,0.6027,1.2999,1.5825
3.0282,0.4721,0.6017,1.3238,1.6129
3.0788,0.4663,0.6027,1.3474,1.6434
