Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0015,0.0000,0.0000,0.0000,0.0000,2.4,2.3,0.0037
0.0028,0.0000,0.0000,0.0000,0.0000,4.7,4.4,0.0070
0.0041,0.0000,0.0000,0.0000,0.0000,6.8,6.4,0.0103
0.0054,0.0000,0.0000,0.0000,0.0000,9.0,8.5,0.0136
0.0068,0.0000,0.0000,0.0000,0.0000,11.3,10.6,0.0169
0.0082,0.0000,0.0000,0.0000,0.0000,13.6,12.8,0.0204
0.0096,0.0000,0.0000,0.0000,0.0000,16.0,15.1,0.0240
0.0109,0.0000,0.0000,0.0000,0.0000,18.3,17.3,0.0273
0.0123,0.0000,0.0000,0.0000,0.0000,20.6,19.4,0.0307
0.0138,0.0000,0.0000,0.0000,0.0000,23.1,21.8,0.0344
0.0152,0.0000,0.0000,0.0000,0.0000,25.6,24.2,0.0380
0.0166,0.0000,0.0000,0.0000,0.0000,28.0,26.5,0.0415
0.0179,0.0000,0.0000,0.0000,0.0000,30.3,28.7,0.0448
0.0193,0.0000,0.0000,0.0000,0.0000,32.7,31.0,0.0483
0.0207,0.0000,0.0000,0.0000,0.0000,35.2,33.4,0.0518
0.0220,0.0000,0.0000,0.0000,0.0000,37.5,35.6,0.0551
0.0234,0.0000,0.0000,0.0000,0.0000,39.9,38.0,0.0586
0.0249,0.0000,0.0000,0.0000,0.0000,42.4,40.4,0.0621
0.0263,0.0000,0.0000,0.0000,0.0000,44.9,42.8,0.0657
0.0277,0.0000,0.0000,0.0000,0.0000,47.5,45.3,0.0692
0.0291,0.0000,0.0000,0.0000,0.0000,50.0,47.7,0.0727
0.0305,0.0000,0.0000,0.0000,0.0000,52.5,50.2,0.0762
0.0318,0.0000,0.0000,0.0000,0.0000,54.8,52.5,0.0795
0.0331,0.0000,0.0000,0.0000,0.0000,57.3,54.8,0.0829
0.0346,0.0000,0.0000,0.0000,0.0000,59.9,57.4,0.0865
0.0361,0.0000,0.0000,0.0000,0.0000,62.5,60.0,0.0901
0.0375,0.0000,0.0000,0.0000,0.0000,65.2,62.6,0.0938
0.0389,0.0000,0.0000,0.0000,0.0000,67.8,65.2,0.0973
0.0403,0.0000,0.0000,0.0000,0.0000,70.3,67.7,0.1008
0.0418,0.0000,0.0000,0.0000,0.0000,73.1,70.5,0.1046
0.0433,0.0000,0.0000,0.0000,0.0000,75.8,73.1,0.1081
0.0448,0.0000,0.0000,0.0000,0.0000,78.7,76.0,0.1121
0.0463,0.0000,0.0000,0.0000,0.0000,81.5,78.7,0.1158
0.0478,0.0000,0.0000,0.0000,0.0000,84.2,81.5,0.1195
0.0492,0.0000,0.0000,0.0000,0.0000,86.9,84.2,0.1230
0.0506,0.0000,0.0000,0.0000,0.0000,89.5,86.8,0.1265
0.0520,0.0000,0.0000,0.0000,0.0000,92.1,89.4,0.1299
0.0534,0.0000,0.0000,0.0000,0.0000,94.8,92.1,0.1334
0.0547,0.0000,0.0000,0.0000,0.0000,97.3,94.6,0.1367
0.0560,0.0000,0.0000,0.0000,0.0000,99.8,97.1,0.1400
0.0573,0.0259,0.0000,0.0000,0.0000,85.3,99.7,0.1433
0.0588,0.0000,0.0000,0.0000,0.0000,105.1,102.5,0.1469
0.0602,0.0000,0.0000,0.0000,0.0000,107.8,105.3,0.1505
0.0616,0.0000,0.0000,0.0000,0.0000,110.6,108.1,0.1541
0.0630,0.0000,0.0000,0.0000,0.0000,113.3,110.8,0.1576
0.0644,0.0249,0.0000,0.0001,0.0000,99.6,113.6,0.1611
0.0658,0.0000,0.0000,0.0001,0.0000,118.7,116.4,0.1646
