Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0505,0.0260,0.0184,0.0013,0.0009
0.1010,0.1040,0.0869,0.0066,0.0053
0.1515,0.1655,0.1669,0.0149,0.0137
0.2019,0.2252,0.2505,0.0263,0.0264
0.2523,0.2883,0.3431,0.0408,0.0437
0.3027,0.3518,0.4182,0.0585,0.0647
0.3531,0.4071,0.4851,0.0791,0.0892
0.4035,0.4548,0.5315,0.1020,0.1160
0.4539,0.4923,0.5635,0.1268,0.1444
0.5043,0.5192,0.5829,0.1530,0.1738
0.5548,0.5415,0.6011,0.1803,0.2041
0.6052,0.5566,0.6155,0.2083,0.2351
0.6556,0.5697,0.6320,0.2370,0.2670
0.7060,0.5768,0.6377,0.2661,0.2991
0.7564,0.5807,0.6328,0.2954,0.3310
0.8068,0.5834,0.6374,0.3248,0.3632
0.8572,0.5811,0.6462,0.3541,0.3957
0.9077,0.5726,0.6547,0.3830,0.4288
0.9582,0.5738,0.6566,0.4120,0.4619
1.0086,0.5722,0.6564,0.4408,0.4950
1.0590,0.5712,0.6540,0.4696,0.5280
1.1095,0.5768,0.6576,0.4987,0.5612
1.1599,0.5728,0.6556,0.5276,0.5942
1.2104,0.5693,0.6582,0.5563,0.6274
1.2608,0.5679,0.6596,0.5850,0.6607
1.3112,0.5714,0.6590,0.6138,0.6939
1.3617,0.5757,0.6565,0.6428,0.7270
1.4121,0.5795,0.6548,0.6721,0.7601
1.4625,0.5762,0.6501,0.7011,0.7929
1.5130,0.5707,0.6555,0.7299,0.8259
1.5635,0.5689,0.6542,0.7587,0.8590
1.6145,0.5758,0.6557,0.7880,0.8924
1.6650,0.5776,0.6535,0.8172,0.9254
1.7154,0.5772,0.6565,0.8463,0.9585
1.7659,0.5748,0.6569,0.8753,0.9917
1.8164,0.5682,0.6577,0.9040,1.0249
1.8669,0.5728,0.6535,0.9329,1.0579
1.9173,0.5772,0.6558,0.9620,1.0910
1.9678,0.5874,0.6538,0.9917,1.1240
2.0183,0.5929,0.6483,1.0216,1.1567
2.0687,0.5949,0.6455,1.0516,1.1893
2.1192,0.5924,0.6464,1.0815,1.2219
2.1696,0.5901,0.6551,1.1113,1.2549
2.2202,0.5909,0.6503,1.1412,1.2878
2.2706,0.5946,0.6445,1.1711,1.3203
2.3211,0.5925,0.6424,1.2010,1.3527
2.3715,0.5926,0.6473,1.2309,1.3854
2.4220,0.5924,0.6526,1.2608,1.4183
2.4724,0.5850,0.6500,1.2903,1.4511
2.5229,0.5841,0.6430,1.3198,1.4835
2.5733,0.5915,0.6401,1.3496,1.5158
2.6237,0.5920,0.6460,1.3795,1.5484
2.6742,0.5944,0.6416,1.4095,1.5808
2.7247,0.5950,0.6408,1.4395,1.6131
2.7751,0.5836,0.6363,1.4689,1.6452
2.8255,0.5844,0.6398,1.4984,1.6775
2.8760,0.5858,0.6467,1.5280,1.7101
2.9264,0.5898,0.6418,1.5577,1.7425
2.9769,0.5912,0.6405,1.5875,1.7748
3.0273,0.5892,0.6433,1.6172,1.8072
3.0777,0.5796,0.6473,1.6465,1.8399
3.1282,0.5782,0.6508,1.6756,1.8727
3.1786,0.5857,0.6459,1.7052,1.9053
3.2291,0.5830,0.6364,1.7346,1.9374
3.2795,0.5856,0.6438,1.7641,1.9698
3.3300,0.5761,0.6493,1.7932,2.0026
3.3804,0.5597,0.6486,1.8214,2.0353
3.4309,0.5747,0.6507,1.8504,2.0681
3.4813,0.5768,0.6460,1.8795,2.1007
3.5317,0.5837,0.6459,1.9090,2.1333
3.5822,0.5864,0.6466,1.9385,2.1659
3.6326,0.5863,0.6486,1.9681,2.1986
3.6831,0.5876,0.6513,1.9978,2.2315
3.7335,0.5901,0.6490,2.0275,2.2642
3.7839,0.5967,0.6466,2.0576,2.2968
3.8344,0.5981,0.6460,2.0878,2.3294
3.8848,0.6001,0.6473,2.1181,2.3621
3.9353,0.5967,0.6535,2.1482,2.3950
3.9857,0.6003,0.6455,2.1784,2.4276
