Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0015,0.0000,0.0000,0.0000,0.0000,3.9,3.5,0.0053
0.0029,0.0000,0.0000,0.0000,0.0000,7.5,6.8,0.0103
0.0045,0.0000,0.0000,0.0000,0.0000,11.6,10.5,0.0158
0.0059,0.0000,0.0000,0.0000,0.0000,15.3,13.8,0.0208
0.0074,0.0000,0.0000,0.0000,0.0000,19.0,17.2,0.0258
0.0087,0.0000,0.0000,0.0000,0.0000,22.6,20.4,0.0306
0.0101,0.0000,0.0000,0.0000,0.0000,26.3,23.7,0.0355
0.0115,0.0000,0.0000,0.0000,0.0000,29.8,26.9,0.0401
0.0128,0.0000,0.0000,0.0000,0.0000,33.4,30.0,0.0448
0.0142,0.0000,0.0000,0.0000,0.0000,37.0,33.3,0.0495
0.0155,0.0000,0.0000,0.0000,0.0000,40.7,36.6,0.0543
0.0168,0.0000,0.0000,0.0000,0.0000,44.2,39.7,0.0588
0.0181,0.0000,0.0000,0.0000,0.0000,47.8,42.9,0.0635
0.0195,0.0000,0.0000,0.0000,0.0000,51.5,46.3,0.0683
0.0211,0.0000,0.0000,0.0000,0.0000,56.0,50.3,0.0740
0.0226,0.0000,0.0000,0.0000,0.0000,60.0,53.8,0.0791
0.0240,0.0000,0.0000,0.0000,0.0000,63.9,57.2,0.0839
0.0254,0.0000,0.0000,0.0000,0.0000,67.7,60.7,0.0888
0.0267,0.0000,0.0000,0.0000,0.0000,71.5,64.0,0.0935
0.0280,0.0000,0.0000,0.0000,0.0000,75.2,67.3,0.0981
0.0293,0.0000,0.0000,0.0000,0.0000,79.0,70.6,0.1027
0.0307,0.0000,0.0000,0.0000,0.0000,82.7,73.9,0.1073
0.0320,0.0000,0.0000,0.0000,0.0000,86.5,77.3,0.1120
0.0334,0.0000,0.0000,0.0000,0.0000,90.6,80.9,0.1170
