Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0505,0.0109,0.0089,0.0006,0.0004
0.1009,0.0561,0.0800,0.0034,0.0045
0.1514,0.1115,0.1505,0.0090,0.0121
0.2018,0.1635,0.2046,0.0173,0.0224
0.2523,0.2052,0.2395,0.0276,0.0345
0.3027,0.2457,0.2704,0.0400,0.0481
0.3532,0.2729,0.2982,0.0538,0.0632
0.4037,0.2963,0.3264,0.0688,0.0797
0.4541,0.3162,0.3477,0.0847,0.0972
0.5046,0.3353,0.3655,0.1016,0.1156
0.5550,0.3497,0.3791,0.1192,0.1347
0.6055,0.3640,0.3941,0.1376,0.1546
0.6559,0.3745,0.4060,0.1565,0.1751
0.7063,0.3824,0.4194,0.1758,0.1962
0.7568,0.3878,0.4309,0.1954,0.2180
0.8073,0.3911,0.4431,0.2151,0.2404
0.8577,0.3939,0.4514,0.2350,0.2631
0.9082,0.4048,0.4698,0.2554,0.2869
0.9598,0.3924,0.4499,0.2757,0.3101
1.0103,0.4067,0.4676,0.2962,0.3337
1.0608,0.4076,0.4760,0.3168,0.3577
1.1113,0.4048,0.4821,0.3372,0.3820
1.1617,0.3990,0.4886,0.3573,0.4067
1.2122,0.3933,0.4958,0.3772,0.4317
1.2626,0.3912,0.5000,0.3969,0.4569
1.3131,0.3954,0.4933,0.4169,0.4818
1.3635,0.3984,0.4915,0.4370,0.5066
1.4139,0.3996,0.4960,0.4571,0.5316
1.4644,0.3915,0.4921,0.4769,0.5564
1.5148,0.3942,0.4948,0.4967,0.5814
1.5652,0.3928,0.4968,0.5165,0.6065
1.6157,0.3927,0.5008,0.5364,0.6317
1.6661,0.3949,0.5031,0.5563,0.6571
1.7165,0.3928,0.5023,0.5761,0.6824
1.7695,0.3877,0.5070,0.5966,0.7093
1.8201,0.3897,0.5085,0.6163,0.7350
1.8705,0.3860,0.5161,0.6358,0.7610
1.9209,0.3763,0.5248,0.6548,0.7875
1.9714,0.3772,0.5278,0.6738,0.8141
2.0218,0.3757,0.5228,0.6927,0.8405
2.0723,0.3763,0.5254,0.7117,0.8670
2.1227,0.3792,0.5291,0.7308,0.8937
2.1731,0.3749,0.5350,0.7498,0.9206
2.2236,0.3741,0.5348,0.7686,0.9476
2.2740,0.3627,0.5440,0.7869,0.9751
2.3245,0.3441,0.5466,0.8043,1.0026
2.3749,0.3395,0.5428,0.8214,1.0300
2.4254,0.3469,0.5453,0.8389,1.0575
2.4758,0.3537,0.5481,0.8568,1.0852
2.5262,0.3572,0.5495,0.8748,1.1129
2.5767,0.3640,0.5419,0.8931,1.1402
2.6271,0.3697,0.5408,0.9118,1.1675
2.6776,0.3707,0.5417,0.9305,1.1948
2.7280,0.3687,0.5444,0.9491,1.2223
2.7785,0.3661,0.5460,0.9675,1.2498
2.8289,0.3656,0.5463,0.9860,1.2774
2.8793,0.3654,0.5454,1.0044,1.3049
2.9298,0.3668,0.5433,1.0229,1.3323
2.9802,0.3661,0.5489,1.0414,1.3600
3.0306,0.3682,0.5475,1.0599,1.3876
3.0811,0.3708,0.5474,1.0786,1.4152
3.1315,0.3710,0.5463,1.0974,1.4427
3.1824,0.3695,0.5472,1.1162,1.4706
3.2331,0.3713,0.5461,1.1350,1.4983
3.2839,0.3666,0.5488,1.1536,1.5262
3.3346,0.3652,0.5468,1.1721,1.5539
3.3854,0.3667,0.5449,1.1908,1.5816
3.4361,0.3619,0.5449,1.2091,1.6092
3.4868,0.3612,0.5435,1.2274,1.6368
3.5376,0.3626,0.5401,1.2458,1.6642
3.5880,0.3682,0.5345,1.2644,1.6911
3.6384,0.3696,0.5414,1.2830,1.7184
3.6888,0.3683,0.5381,1.3016,1.7456
3.7393,0.3663,0.5463,1.3201,1.7731
3.7897,0.3635,0.5457,1.3384,1.8006
3.8401,0.3574,0.5423,1.3564,1.8280
3.8905,0.3615,0.5401,1.3746,1.8552
