Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0015,0.0000,0.0000,0.0000,0.0000,4.9,4.6,0.0075
0.0029,0.0000,0.0000,0.0000,0.0000,9.4,8.9,0.0143
0.0042,0.0000,0.0000,0.0000,0.0000,13.9,13.1,0.0211
0.0055,0.0000,0.0000,0.0000,0.0000,18.2,17.2,0.0276
0.0070,0.0000,0.0000,0.0000,0.0000,23.0,21.8,0.0349
0.0084,0.0000,0.0000,0.0000,0.0000,27.8,26.4,0.0421
0.0099,0.0000,0.0000,0.0000,0.0000,32.7,31.1,0.0494
0.0112,0.0000,0.0000,0.0000,0.0000,37.1,35.3,0.0560
0.0125,0.0000,0.0000,0.0000,0.0000,41.7,39.7,0.0627
0.0141,0.0000,0.0000,0.0000,0.0000,47.0,44.9,0.0706
0.0156,0.0000,0.0000,0.0000,0.0000,51.9,49.6,0.0778
0.0169,0.0000,0.0000,0.0000,0.0000,56.5,54.0,0.0845
0.0182,0.0000,0.0000,0.0000,0.0000,61.1,58.5,0.0912
0.0196,0.0000,0.0000,0.0000,0.0000,65.9,63.1,0.0982
0.0210,0.0000,0.0000,0.0000,0.0000,70.7,67.9,0.1052
0.0223,0.0000,0.0000,0.0000,0.0000,75.2,72.3,0.1117
0.0237,0.0000,0.0000,0.0000,0.0000,79.9,76.8,0.1184
0.0251,0.0000,0.0000,0.0000,0.0000,84.8,81.6,0.1254
0.0265,0.0000,0.0000,0.0000,0.0000,89.7,86.4,0.1324
0.0278,0.0000,0.0000,0.0000,0.0000,94.3,90.9,0.1389
0.0291,0.0000,0.0000,0.0000,0.0000,99.1,95.6,0.1457
0.0305,0.0000,0.0000,0.0000,0.0000,104.0,100.5,0.1527
0.0319,0.0246,0.0000,0.0000,0.0000,92.9,105.4,0.1597
0.0332,0.0000,0.0000,0.0000,0.0000,113.6,110.0,0.1662
0.0346,0.0000,0.0000,0.0000,0.0000,118.4,114.8,0.1729
0.0360,0.0000,0.0000,0.0000,0.0000,123.7,120.0,0.1802
0.0375,0.0000,0.0000,0.0000,0.0000,128.8,125.1,0.1873
0.0388,0.0000,0.0000,0.0000,0.0000,133.7,129.9,0.1940
0.0402,0.0000,0.0000,0.0000,0.0000,138.7,135.0,0.2010
0.0416,0.0000,0.0000,0.0000,0.0000,144.0,140.3,0.2082
0.0431,0.0000,0.0000,0.0000,0.0000,149.4,145.6,0.2155
0.0445,0.0000,0.0000,0.0000,0.0000,154.7,150.9,0.2227
0.0460,0.0000,0.0000,0.0000,0.0000,159.9,156.2,0.2298
0.0474,0.0000,0.0239,0.0000,0.0000,165.3,146.8,0.2370
0.0488,0.0000,0.0000,0.0000,0.0000,170.6,166.8,0.2442
0.0502,0.0000,0.0000,0.0000,0.0000,175.8,172.1,0.2511
0.0516,0.0246,0.0000,0.0001,0.0000,164.9,177.4,0.2581
0.0530,0.0000,0.0244,0.0001,0.0001,186.3,167.7,0.2652
0.0544,0.0000,0.0000,0.0001,0.0001,191.3,187.7,0.2718
0.0557,0.0263,0.0263,0.0001,0.0001,179.1,176.5,0.2783
0.0570,0.0255,0.0000,0.0001,0.0001,184.7,197.9,0.2851
0.0585,0.0234,0.0234,0.0002,0.0001,191.7,189.2,0.2925
0.0600,0.0000,0.0238,0.0002,0.0002,212.4,194.5,0.2998
0.0613,0.0256,0.0256,0.0002,0.0002,200.9,198.6,0.3065
0.0627,0.0247,0.0247,0.0002,0.0002,206.7,204.5,0.3135
0.0641,0.0244,0.0244,0.0003,0.0003,212.4,210.2,0.3205
0.0654,0.0261,0.0261,0.0003,0.0003,216.4,214.4,0.3272
0.0667,0.0264,0.0264,0.0003,0.0003,221.2,219.3,0.3337
0.0681,0.0260,0.0260,0.0004,0.0004,226.6,224.8,0.3404
0.0695,0.0246,0.0246,0.0004,0.0004,232.9,231.2,0.3474
0.0710,0.0459,0.0229,0.0005,0.0004,224.8,238.2,0.3549
0.0724,0.0242,0.0483,0.0005,0.0005,244.5,228.3,0.3620
0.0738,0.0492,0.0246,0.0006,0.0006,233.7,248.5,0.3690
0.0753,0.0238,0.0238,0.0006,0.0006,250.0,250.0,0.3763
0.0768,0.0675,0.0450,0.0007,0.0007,233.4,248.0,0.3840
0.0782,0.0240,0.0481,0.0008,0.0007,250.0,250.0,0.3912
0.0796,0.0488,0.0488,0.0008,0.0008,250.0,250.0,0.3982
0.0811,0.0725,0.0484,0.0009,0.0009,246.9,250.0,0.4054
0.0825,0.0472,0.0472,0.0010,0.0009,250.0,250.0,0.4127
0.0840,0.0486,0.0486,0.0011,0.0010,250.0,250.0,0.4198
0.0854,0.0488,0.0488,0.0011,0.0011,250.0,250.0,0.4269
0.0868,0.0742,0.0742,0.0012,0.0012,250.0,250.0,0.4338
0.0882,0.0483,0.0483,0.0013,0.0012,250.0,250.0,0.4410
0.0895,0.0519,0.0519,0.0014,0.0013,250.0,250.0,0.4476
0.0909,0.0773,0.0773,0.0015,0.0014,250.0,250.0,0.4543
0.0923,0.0495,0.0495,0.0016,0.0015,250.0,250.0,0.4613
0.0937,0.0738,0.0738,0.0017,0.0016,250.0,250.0,0.4683
0.0950,0.0532,0.0798,0.0017,0.0017,250.0,250.0,0.4748
0.0963,0.0753,0.0753,0.0018,0.0018,250.0,250.0,0.4817
0.0979,0.0649,0.0866,0.0019,0.0019,250.0,250.0,0.4897
0.0994,0.0720,0.0720,0.0020,0.0020,250.0,250.0,0.4968
0.1008,0.0749,0.0749,0.0021,0.0021,250.0,250.0,0.5038
0.1021,0.0511,0.1021,0.0022,0.0023,250.0,250.0,0.5105
0.1035,0.0739,0.0986,0.0023,0.0024,250.0,250.0,0.5175
0.1049,0.0738,0.0984,0.0024,0.0026,250.0,250.0,0.5245
0.1062,0.0786,0.1048,0.0025,0.0027,250.0,250.0,0.5311
0.1076,0.0766,0.1022,0.0026,0.0028,250.0,250.0,0.5379
0.1090,0.1004,0.1255,0.0028,0.0030,250.0,250.0,0.5448
0.1104,0.0699,0.0932,0.0029,0.0031,250.0,250.0,0.5522
0.1119,0.0726,0.1210,0.0030,0.0033,250.0,250.0,0.5593
0.1133,0.0975,0.1219,0.0031,0.0035,250.0,250.0,0.5664
