Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0107,0.0000,0.0000,0.0000,0.0000
0.0214,0.0194,0.0000,0.0002,0.0000
0.0320,0.0325,0.0032,0.0006,0.0000
0.0426,0.0487,0.0000,0.0011,0.0000
0.0534,0.0611,0.0129,0.0017,0.0002
0.0640,0.0713,0.0356,0.0025,0.0006
0.0747,0.0838,0.0580,0.0034,0.0012
0.0854,0.1005,0.0811,0.0045,0.0020
0.0960,0.1164,0.0970,0.0057,0.0031
0.1067,0.1294,0.1100,0.0071,0.0042
0.1174,0.1618,0.1262,0.0088,0.0056
0.1280,0.1785,0.1363,0.0107,0.0070
0.1387,0.1940,0.1552,0.0128,0.0087
0.1494,0.2200,0.1779,0.0151,0.0106
0.1600,0.2372,0.1950,0.0176,0.0127
0.1711,0.2534,0.2132,0.0205,0.0150
0.1818,0.2713,0.2326,0.0234,0.0175
0.1924,0.2799,0.2473,0.0263,0.0202
0.2032,0.2994,0.2704,0.0295,0.0231
0.2138,0.3172,0.2880,0.0329,0.0261
0.2244,0.3326,0.3066,0.0364,0.0294
0.2351,0.3512,0.3255,0.0402,0.0329
0.2458,0.3563,0.3530,0.0440,0.0366
0.2563,0.3722,0.3852,0.0479,0.0407
0.2671,0.3769,0.3962,0.0520,0.0449
0.2777,0.3918,0.4144,0.0562,0.0494
0.2883,0.4014,0.4308,0.0604,0.0539
0.2990,0.4054,0.4601,0.0647,0.0588
0.3101,0.4150,0.4898,0.0693,0.0643
0.3208,0.4229,0.4972,0.0739,0.0696
0.3315,0.4229,0.5068,0.0784,0.0750
0.3421,0.4299,0.5366,0.0830,0.0807
0.3528,0.4412,0.5515,0.0877,0.0866
0.3639,0.4492,0.5514,0.0927,0.0927
0.3746,0.4464,0.5628,0.0974,0.0987
0.3853,0.4528,0.5822,0.1023,0.1050
0.3966,0.4705,0.5866,0.1076,0.1116
0.4072,0.4818,0.6014,0.1127,0.1180
0.4179,0.4839,0.6073,0.1179,0.1245
0.4286,0.5060,0.6124,0.1233,0.1310
0.4393,0.5164,0.6294,0.1288,0.1377
0.4499,0.5261,0.6300,0.1344,0.1444
0.4606,0.5431,0.6304,0.1402,0.1512
0.4712,0.5562,0.6440,0.1461,0.1580
0.4819,0.5591,0.6335,0.1521,0.1648
0.4925,0.5699,0.6346,0.1581,0.1715
0.5031,0.5845,0.6462,0.1644,0.1784
0.5138,0.5760,0.6505,0.1705,0.1853
0.5245,0.5956,0.6506,0.1769,0.1923
0.5352,0.5972,0.6489,0.1832,0.1992
0.5459,0.5998,0.6611,0.1897,0.2063
0.5565,0.6083,0.6604,0.1961,0.2133
0.5672,0.6112,0.6466,0.2027,0.2202
0.5779,0.6118,0.6701,0.2092,0.2274
0.5885,0.6171,0.6591,0.2158,0.2344
0.5992,0.6104,0.6591,0.2223,0.2414
0.6098,0.6127,0.6743,0.2288,0.2486
0.6205,0.6241,0.6564,0.2355,0.2556
0.6312,0.6049,0.6663,0.2419,0.2627
0.6425,0.6211,0.6548,0.2489,0.2701
0.6569,0.6172,0.6648,0.2579,0.2797
0.6677,0.6248,0.6666,0.2646,0.2869
0.6784,0.6284,0.6639,0.2713,0.2940
0.6890,0.6265,0.6687,0.2779,0.3011
0.6997,0.6283,0.6670,0.2847,0.3082
0.7104,0.6270,0.6688,0.2914,0.3154
0.7211,0.6258,0.6712,0.2981,0.3226
0.7318,0.6346,0.6733,0.3049,0.3298
0.7424,0.6208,0.6728,0.3115,0.3369
0.7531,0.6377,0.6763,0.3183,0.3442
0.7639,0.6183,0.6762,0.3249,0.3514
0.7745,0.6211,0.6696,0.3315,0.3586
0.7852,0.6209,0.6726,0.3382,0.3658
0.7958,0.6360,0.6752,0.3449,0.3729
0.8064,0.6254,0.6643,0.3516,0.3800
0.8170,0.6385,0.6711,0.3583,0.3871
0.8277,0.6255,0.6644,0.3650,0.3942
0.8383,0.6739,0.7032,0.3721,0.4016
0.8502,0.6089,0.6408,0.3794,0.4092
0.8613,0.6316,0.6659,0.3864,0.4166
0.8720,0.6427,0.6748,0.3933,0.4239
0.8828,0.6283,0.6635,0.4001,0.4310
0.8935,0.6381,0.6800,0.4069,0.4383
0.9042,0.6312,0.6731,0.4137,0.4455
0.9152,0.6293,0.6765,0.4206,0.4529
0.9258,0.6293,0.6747,0.4273,0.4601
0.9366,0.6297,0.6682,0.4340,0.4673
0.9473,0.6271,0.6689,0.4408,0.4745
0.9588,0.6374,0.6645,0.4481,0.4821
0.9694,0.6284,0.6737,0.4548,0.4893
0.9801,0.6352,0.6643,0.4616,0.4964
0.9912,0.6349,0.6629,0.4686,0.5037
1.0019,0.6237,0.6722,0.4753,0.5109
1.0129,0.6371,0.6653,0.4823,0.5182
1.0241,0.6167,0.6784,0.4892,0.5258
1.0349,0.6221,0.6638,0.4959,0.5330
1.0455,0.6112,0.6727,0.5024,0.5402
1.0562,0.6138,0.6723,0.5089,0.5473
1.0676,0.6226,0.6618,0.5161,0.5549
1.0783,0.6197,0.6717,0.5227,0.5620
1.0889,0.6209,0.6629,0.5293,0.5691
1.0996,0.6281,0.6734,0.5360,0.5763
1.1103,0.6163,0.6744,0.5426,0.5835
1.1209,0.6270,0.6660,0.5492,0.5906
1.1316,0.6264,0.6813,0.5559,0.5979
1.1422,0.6269,0.6724,0.5626,0.6050
1.1529,0.6303,0.6723,0.5693,0.6122
1.1635,0.6216,0.6672,0.5759,0.6193
1.1742,0.6279,0.6700,0.5826,0.6264
1.1849,0.6365,0.6818,0.5894,0.6337
1.1955,0.6180,0.6701,0.5960,0.6408
1.2061,0.6278,0.6764,0.6027,0.6480
1.2168,0.6257,0.6741,0.6094,0.6552
1.2275,0.6235,0.6690,0.6160,0.6623
1.2381,0.6275,0.6825,0.6227,0.6696
1.2487,0.6256,0.6777,0.6293,0.6768
1.2594,0.6249,0.6767,0.6360,0.6840
1.2701,0.6243,0.6760,0.6426,0.6912
1.2807,0.6199,0.6751,0.6492,0.6984
1.2914,0.6210,0.6889,0.6558,0.7058
1.3021,0.6174,0.6691,0.6624,0.7129
1.3127,0.6183,0.6899,0.6690,0.7202
1.3233,0.6262,0.6714,0.6757,0.7274
