Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0108,0.0032,0.0032,0.0000,0.0000
0.0214,0.0130,0.0195,0.0002,0.0002
0.0321,0.0194,0.0420,0.0004,0.0007
0.0428,0.0259,0.0615,0.0007,0.0013
0.0534,0.0326,0.0815,0.0010,0.0022
0.0641,0.0451,0.1064,0.0015,0.0033
0.0747,0.0583,0.1231,0.0021,0.0047
0.0853,0.0779,0.1428,0.0029,0.0062
0.0960,0.0843,0.1588,0.0038,0.0079
0.1067,0.1001,0.1808,0.0049,0.0098
0.1173,0.1175,0.1926,0.0061,0.0118
0.1279,0.1300,0.2080,0.0075,0.0140
0.1385,0.1462,0.2275,0.0091,0.0165
0.1491,0.1657,0.2371,0.0108,0.0190
0.1598,0.1720,0.2564,0.0127,0.0217
0.1703,0.1958,0.2676,0.0147,0.0245
0.1809,0.2048,0.2763,0.0169,0.0275
0.1916,0.2207,0.2857,0.0193,0.0305
0.2022,0.2532,0.3181,0.0220,0.0339
0.2137,0.2339,0.2908,0.0246,0.0372
0.2244,0.2718,0.3203,0.0275,0.0407
0.2351,0.2869,0.3320,0.0306,0.0442
0.2458,0.3007,0.3363,0.0338,0.0478
0.2568,0.3133,0.3446,0.0373,0.0516
0.2674,0.3242,0.3696,0.0407,0.0555
0.2781,0.3434,0.3791,0.0444,0.0596
0.2888,0.3508,0.3927,0.0481,0.0638
0.2995,0.3629,0.4018,0.0520,0.0681
0.3101,0.3683,0.4265,0.0559,0.0726
0.3211,0.3838,0.4467,0.0602,0.0775
0.3318,0.3951,0.4599,0.0644,0.0824
0.3424,0.4059,0.4708,0.0687,0.0874
0.3531,0.4073,0.4881,0.0730,0.0926
0.3645,0.4206,0.4993,0.0778,0.0983
0.3756,0.4333,0.5050,0.0826,0.1039
0.3866,0.4407,0.5282,0.0875,0.1098
0.3976,0.4361,0.5396,0.0923,0.1157
0.4086,0.4417,0.5451,0.0972,0.1217
0.4197,0.4591,0.5528,0.1022,0.1278
0.4308,0.4606,0.5596,0.1074,0.1341
0.4419,0.4707,0.5673,0.1126,0.1403
0.4529,0.4801,0.5774,0.1179,0.1467
0.4641,0.5224,0.6121,0.1237,0.1535
0.4756,0.4600,0.5411,0.1290,0.1597
0.4862,0.5061,0.5937,0.1344,0.1660
0.4969,0.5086,0.5923,0.1398,0.1724
0.5077,0.5142,0.5913,0.1453,0.1788
0.5183,0.5232,0.6077,0.1509,0.1852
0.5289,0.5347,0.5931,0.1566,0.1915
0.5399,0.5237,0.6026,0.1623,0.1981
0.5505,0.5400,0.6079,0.1681,0.2046
0.5612,0.5517,0.6102,0.1740,0.2111
0.5719,0.5382,0.6156,0.1797,0.2177
0.5826,0.5500,0.6147,0.1856,0.2242
0.5932,0.5584,0.6230,0.1916,0.2309
0.6039,0.5495,0.6238,0.1974,0.2376
0.6145,0.5593,0.6244,0.2034,0.2442
0.6252,0.5694,0.6341,0.2094,0.2510
0.6359,0.6318,0.7124,0.2162,0.2586
0.6480,0.5060,0.5689,0.2223,0.2655
0.6587,0.5749,0.6298,0.2285,0.2722
0.6693,0.5621,0.6401,0.2344,0.2790
0.6800,0.5810,0.6424,0.2406,0.2858
0.6906,0.5748,0.6430,0.2467,0.2927
0.7013,0.5781,0.6363,0.2529,0.2995
0.7120,0.5758,0.6470,0.2591,0.3064
0.7227,0.5748,0.6426,0.2652,0.3133
0.7337,0.5770,0.6459,0.2716,0.3204
0.7443,0.5740,0.6486,0.2777,0.3273
0.7554,0.5785,0.6439,0.2841,0.3344
0.7660,0.5684,0.6464,0.2901,0.3413
0.7773,0.5876,0.6489,0.2968,0.3486
0.7880,0.5708,0.6385,0.3029,0.3554
0.7990,0.5763,0.6515,0.3092,0.3626
0.8097,0.5911,0.6496,0.3155,0.3695
0.8204,0.5765,0.6501,0.3217,0.3765
0.8311,0.5844,0.6458,0.3280,0.3834
0.8423,0.5897,0.6515,0.3345,0.3907
0.8530,0.5811,0.6521,0.3408,0.3977
0.8639,0.5896,0.6467,0.3472,0.4047
0.8746,0.5810,0.6520,0.3534,0.4117
0.8862,0.5855,0.6450,0.3602,0.4192
0.8968,0.5927,0.6510,0.3665,0.4261
0.9080,0.6094,0.6681,0.3733,0.4336
0.9191,0.5572,0.6226,0.3795,0.4405
0.9301,0.5991,0.6615,0.3861,0.4478
0.9437,0.5881,0.6492,0.3941,0.4566
0.9575,0.5910,0.6536,0.4022,0.4656
0.9682,0.5951,0.6466,0.4086,0.4725
0.9789,0.5892,0.6471,0.4149,0.4795
0.9896,0.5982,0.6532,0.4213,0.4864
1.0003,0.5956,0.6474,0.4277,0.4934
1.0110,0.5971,0.6585,0.4341,0.5004
1.0216,0.5952,0.6502,0.4404,0.5073
1.0324,0.5801,0.6506,0.4467,0.5143
1.0435,0.5898,0.6581,0.4532,0.5217
1.0546,0.5876,0.6564,0.4597,0.5289
1.0657,0.5767,0.6542,0.4661,0.5362
1.0766,0.5873,0.6567,0.4725,0.5434
1.0877,0.5867,0.6553,0.4790,0.5506
1.0987,0.5848,0.6505,0.4855,0.5578
1.1097,0.5867,0.6558,0.4919,0.5650
1.1207,0.5794,0.6608,0.4983,0.5723
1.1318,0.5946,0.6478,0.5049,0.5794
1.1428,0.5898,0.6553,0.5114,0.5867
1.1538,0.5884,0.6513,0.5179,0.5938
1.1648,0.5967,0.6469,0.5244,0.6009
1.1754,0.5942,0.6559,0.5307,0.6079
1.1865,0.5943,0.6506,0.5373,0.6151
1.1971,0.5977,0.6529,0.5436,0.6220
1.2081,0.6015,0.6548,0.5503,0.6292
1.2187,0.5970,0.6554,0.5566,0.6362
1.2294,0.6010,0.6495,0.5630,0.6431
1.2404,0.5948,0.6483,0.5696,0.6503
1.2510,0.6083,0.6571,0.5760,0.6572
1.2620,0.6028,0.6559,0.5827,0.6645
1.2727,0.6013,0.6501,0.5891,0.6714
