Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0104,0.0033,0.0000,0.0000,0.0000
0.0209,0.0199,0.0166,0.0002,0.0002
0.0313,0.0364,0.0331,0.0006,0.0005
0.0417,0.0430,0.0496,0.0011,0.0010
0.0522,0.0563,0.0729,0.0017,0.0018
0.0626,0.0729,0.0960,0.0024,0.0028
0.0730,0.0861,0.1125,0.0033,0.0040
0.0834,0.1029,0.1360,0.0044,0.0054
0.0938,0.1128,0.1527,0.0056,0.0070
0.1042,0.1228,0.1660,0.0068,0.0087
0.1146,0.1356,0.2017,0.0082,0.0108
0.1251,0.1481,0.2172,0.0098,0.0131
0.1356,0.1556,0.2350,0.0114,0.0155
0.1460,0.1612,0.2599,0.0131,0.0183
0.1565,0.1655,0.2847,0.0148,0.0212
0.1669,0.1717,0.3071,0.0166,0.0244
0.1774,0.1750,0.3301,0.0185,0.0279
0.1878,0.1816,0.3467,0.0204,0.0315
0.1983,0.1816,0.3699,0.0223,0.0354
0.2087,0.1916,0.3964,0.0243,0.0395
0.2192,0.1982,0.4228,0.0263,0.0439
0.2296,0.2114,0.4427,0.0285,0.0486
0.2401,0.2180,0.4558,0.0308,0.0533
0.2507,0.2269,0.4797,0.0332,0.0584
0.2612,0.2373,0.4910,0.0357,0.0636
0.2717,0.2409,0.5082,0.0382,0.0689
0.2821,0.2577,0.5253,0.0409,0.0744
0.2926,0.2775,0.5451,0.0438,0.0801
0.3030,0.2873,0.5515,0.0468,0.0858
0.3135,0.3041,0.5585,0.0500,0.0917
0.3239,0.3239,0.5718,0.0534,0.0976
0.3343,0.3403,0.5815,0.0569,0.1037
0.3448,0.3570,0.5982,0.0607,0.1100
0.3552,0.3810,0.6062,0.0646,0.1163
0.3656,0.3899,0.5981,0.0687,0.1225
0.3761,0.4001,0.6249,0.0729,0.1290
0.3865,0.4195,0.6309,0.0773,0.1356
0.3971,0.4352,0.6249,0.0819,0.1422
0.4075,0.4499,0.6484,0.0866,0.1490
0.4180,0.4586,0.6368,0.0914,0.1557
0.4284,0.4692,0.6477,0.0963,0.1624
0.4389,0.4887,0.6571,0.1014,0.1693
0.4493,0.4926,0.6546,0.1065,0.1761
0.4597,0.4968,0.6723,0.1117,0.1831
0.4702,0.5048,0.6664,0.1170,0.1901
0.4806,0.5122,0.6741,0.1223,0.1971
0.4911,0.5155,0.6774,0.1277,0.2042
0.5015,0.5188,0.6808,0.1331,0.2113
0.5120,0.5310,0.6861,0.1387,0.2185
0.5225,0.5336,0.6950,0.1443,0.2258
0.5330,0.5227,0.6762,0.1498,0.2329
0.5435,0.5377,0.6993,0.1554,0.2403
0.5540,0.5417,0.6862,0.1611,0.2475
0.5645,0.5482,0.7001,0.1668,0.2548
0.5749,0.5546,0.6867,0.1726,0.2620
0.5854,0.5617,0.6873,0.1785,0.2691
0.5958,0.5645,0.6900,0.1844,0.2764
0.6063,0.5742,0.6897,0.1904,0.2836
0.6167,0.5857,0.6915,0.1965,0.2908
0.6272,0.5815,0.6806,0.2026,0.2979
0.6376,0.5883,0.6842,0.2087,0.3050
0.6480,0.5983,0.6843,0.2150,0.3122
0.6585,0.5951,0.6810,0.2212,0.3193
0.6689,0.6088,0.6915,0.2276,0.3265
0.6793,0.5998,0.6859,0.2338,0.3337
0.6898,0.6047,0.6874,0.2401,0.3408
0.7002,0.6183,0.6911,0.2466,0.3480
0.7107,0.6085,0.6812,0.2529,0.3552
0.7211,0.6197,0.6926,0.2594,0.3624
0.7315,0.6155,0.6916,0.2658,0.3696
0.7419,0.6224,0.6819,0.2723,0.3767
0.7523,0.6197,0.6859,0.2787,0.3838
0.7628,0.6287,0.6816,0.2853,0.3909
0.7732,0.6226,0.6955,0.2918,0.3982
0.7836,0.6318,0.6814,0.2984,0.4053
0.7941,0.6239,0.6899,0.3049,0.4125
0.8045,0.6322,0.6785,0.3115,0.4196
0.8149,0.6298,0.6795,0.3181,0.4267
0.8253,0.6174,0.6871,0.3245,0.4338
0.8357,0.6320,0.6783,0.3311,0.4409
0.8462,0.6287,0.6783,0.3376,0.4480
0.8566,0.6330,0.6761,0.3442,0.4550
0.8670,0.6269,0.6766,0.3507,0.4620
0.8774,0.6547,0.7076,0.3576,0.4694
0.8884,0.6075,0.6515,0.3642,0.4766
0.8988,0.6344,0.6807,0.3709,0.4837
0.9093,0.6283,0.6678,0.3775,0.4907
0.9200,0.6327,0.6813,0.3842,0.4979
0.9304,0.6365,0.6695,0.3908,0.5049
0.9409,0.6283,0.6779,0.3974,0.5120
0.9513,0.6413,0.6776,0.4041,0.5191
0.9618,0.6350,0.6714,0.4107,0.5261
0.9722,0.6360,0.6791,0.4174,0.5332
0.9826,0.6481,0.6845,0.4241,0.5403
0.9935,0.6340,0.6531,0.4310,0.5474
1.0039,0.6397,0.6760,0.4377,0.5545
1.0144,0.6446,0.6710,0.4444,0.5615
1.0248,0.6411,0.6708,0.4511,0.5685
1.0352,0.6487,0.6752,0.4579,0.5755
1.0456,0.6363,0.6661,0.4645,0.5825
1.0561,0.6369,0.6767,0.4711,0.5895
1.0665,0.6395,0.6660,0.4778,0.5964
1.0769,0.6221,0.6751,0.4843,0.6035
1.0873,0.6314,0.6746,0.4908,0.6105
1.0977,0.6342,0.6739,0.4975,0.6175
1.1081,0.6237,0.6768,0.5039,0.6246
1.1186,0.6352,0.6683,0.5106,0.6315
1.1290,0.6211,0.6709,0.5170,0.6385
1.1394,0.6320,0.6750,0.5236,0.6456
1.1498,0.6362,0.6726,0.5302,0.6526
1.1605,0.6243,0.6760,0.5369,0.6598
1.1709,0.6277,0.6641,0.5435,0.6667
1.1814,0.6588,0.7019,0.5503,0.6740
1.1922,0.5990,0.6500,0.5568,0.6811
1.2026,0.6328,0.6692,0.5634,0.6880
1.2130,0.6206,0.6804,0.5699,0.6951
1.2234,0.6253,0.6719,0.5764,0.7021
1.2340,0.6156,0.6772,0.5829,0.7093
1.2445,0.6133,0.6826,0.5893,0.7165
1.2549,0.6240,0.6738,0.5958,0.7235
1.2655,0.6184,0.6770,0.6024,0.7306
1.2759,0.6261,0.6791,0.6089,0.7377
1.2865,0.6260,0.6716,0.6155,0.7448
1.2971,0.6237,0.6825,0.6221,0.7520
1.3077,0.6244,0.6731,0.6288,0.7592
1.3183,0.6343,0.6799,0.6355,0.7664
1.3289,0.6236,0.6791,0.6421,0.7736
1.3394,0.6342,0.6734,0.6488,0.7807
1.3501,0.6268,0.6820,0.6554,0.7879
1.3607,0.6246,0.6766,0.6621,0.7951
1.3711,0.6309,0.6708,0.6686,0.8021
1.3817,0.6239,0.6596,0.6752,0.8091
1.3923,0.6250,0.6771,0.6819,0.8163
1.4029,0.6367,0.6792,0.6886,0.8234
1.4135,0.6219,0.6642,0.6952,0.8305
1.4240,0.6365,0.6724,0.7019,0.8376
1.4346,0.6293,0.6717,0.7086,0.8447
1.4452,0.6333,0.6659,0.7153,0.8518
1.4558,0.6354,0.6745,0.7220,0.8589
1.4664,0.6350,0.6643,0.7287,0.8659
1.4770,0.6322,0.6778,0.7354,0.8731
1.4875,0.6369,0.6728,0.7422,0.8802
1.4981,0.6196,0.6751,0.7487,0.8874
1.5087,0.6275,0.6830,0.7554,0.8946
1.5193,0.6219,0.6675,0.7619,0.9017
1.5299,0.6285,0.6774,0.7686,0.9088
1.5404,0.6276,0.6733,0.7752,0.9159
1.5509,0.6263,0.6694,0.7818,0.9229
1.5615,0.6298,0.6785,0.7885,0.9301
1.5719,0.6301,0.6699,0.7950,0.9371
1.5825,0.6199,0.6751,0.8016,0.9443
1.5931,0.6370,0.6631,0.8083,0.9513
1.6037,0.6310,0.6830,0.8150,0.9585
1.6143,0.6285,0.6709,0.8217,0.9656
1.6249,0.6353,0.6548,0.8284,0.9726
1.6356,0.6281,0.6734,0.8351,0.9798
1.6462,0.6266,0.6655,0.8418,0.9868
1.6568,0.6333,0.6627,0.8485,0.9938
1.6674,0.6332,0.6689,0.8552,1.0010
1.6780,0.6339,0.6632,0.8619,1.0080
1.6886,0.6345,0.6638,0.8687,1.0150
1.6992,0.6305,0.6630,0.8754,1.0221
1.7097,0.6450,0.6648,0.8821,1.0291
1.7203,0.6259,0.6715,0.8888,1.0362
1.7312,0.6460,0.6681,0.8958,1.0434
1.7417,0.6425,0.6755,0.9025,1.0505
1.7521,0.6363,0.6662,0.9091,1.0575
1.7625,0.6375,0.6674,0.9158,1.0644
1.7729,0.6376,0.6774,0.9224,1.0714
1.7833,0.6243,0.6708,0.9289,1.0784
1.7938,0.6389,0.6752,0.9356,1.0855
1.8044,0.6240,0.6565,0.9422,1.0925
1.8150,0.6362,0.6720,0.9489,1.0996
1.8256,0.6379,0.6770,0.9557,1.1067
1.8363,0.6240,0.6465,0.9624,1.1137
1.8469,0.6392,0.6751,0.9692,1.1208
1.8575,0.6320,0.6646,0.9759,1.1279
1.8681,0.6333,0.6659,0.9826,1.1349
1.8786,0.6417,0.6710,0.9894,1.1420
1.8893,0.6309,0.6569,0.9961,1.1490
1.8998,0.6372,0.6731,1.0028,1.1561
1.9104,0.6376,0.6637,1.0095,1.1631
1.9210,0.6314,0.6672,1.0162,1.1702
