Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0105,0.0033,0.0033,0.0000,0.0000
0.0209,0.0198,0.0231,0.0002,0.0003
0.0314,0.0297,0.0461,0.0006,0.0008
0.0418,0.0364,0.0595,0.0009,0.0014
0.0523,0.0495,0.0760,0.0014,0.0022
0.0627,0.0662,0.0894,0.0021,0.0031
0.0732,0.0924,0.1056,0.0031,0.0042
0.0836,0.1023,0.1287,0.0042,0.0056
0.0941,0.1091,0.1388,0.0053,0.0070
0.1045,0.1225,0.1589,0.0066,0.0087
0.1149,0.1357,0.1754,0.0080,0.0105
0.1254,0.1489,0.1885,0.0096,0.0125
0.1358,0.1719,0.2016,0.0114,0.0146
0.1462,0.1852,0.2149,0.0133,0.0168
0.1567,0.1985,0.2249,0.0154,0.0192
0.1671,0.2123,0.2388,0.0176,0.0216
0.1775,0.2248,0.2612,0.0199,0.0244
0.1880,0.2402,0.2764,0.0224,0.0273
0.1984,0.2486,0.2850,0.0250,0.0302
0.2088,0.2615,0.3078,0.0277,0.0334
0.2193,0.2784,0.3181,0.0306,0.0368
0.2297,0.2882,0.3379,0.0337,0.0403
0.2402,0.2862,0.3619,0.0367,0.0441
0.2506,0.3032,0.3824,0.0398,0.0481
0.2611,0.3141,0.4034,0.0431,0.0523
0.2715,0.3241,0.4200,0.0465,0.0567
0.2819,0.3386,0.4482,0.0500,0.0613
0.2923,0.3406,0.4696,0.0536,0.0662
0.3028,0.3475,0.4898,0.0572,0.0713
0.3132,0.3616,0.5208,0.0610,0.0768
0.3236,0.3696,0.5413,0.0648,0.0824
0.3341,0.3837,0.5591,0.0688,0.0883
0.3445,0.3844,0.5832,0.0728,0.0943
0.3549,0.3970,0.6022,0.0770,0.1006
0.3653,0.4039,0.6191,0.0812,0.1071
0.3758,0.4135,0.6384,0.0855,0.1137
0.3862,0.4133,0.6646,0.0898,0.1207
0.3967,0.4201,0.6550,0.0942,0.1275
0.4071,0.4298,0.6943,0.0987,0.1347
0.4175,0.4511,0.6966,0.1034,0.1420
0.4279,0.4465,0.7045,0.1080,0.1493
0.4384,0.4569,0.7218,0.1128,0.1569
0.4488,0.4507,0.7290,0.1175,0.1645
0.4593,0.4639,0.7402,0.1224,0.1722
0.4697,0.4757,0.7367,0.1273,0.1799
0.4802,0.4729,0.7606,0.1323,0.1879
0.4906,0.4935,0.7551,0.1374,0.1957
0.5010,0.4960,0.7605,0.1426,0.2037
0.5114,0.5028,0.7641,0.1478,0.2116
0.5219,0.5125,0.7605,0.1532,0.2196
0.5323,0.5209,0.7664,0.1586,0.2276
0.5427,0.5290,0.7605,0.1641,0.2355
0.5532,0.5520,0.7701,0.1699,0.2435
0.5637,0.5557,0.7563,0.1757,0.2515
0.5741,0.5570,0.7691,0.1815,0.2595
0.5846,0.5764,0.7467,0.1876,0.2673
0.5951,0.5882,0.7601,0.1937,0.2753
0.6055,0.5941,0.7592,0.1999,0.2832
0.6159,0.6125,0.7516,0.2063,0.2911
0.6264,0.6217,0.7540,0.2128,0.2989
0.6368,0.6326,0.7584,0.2194,0.3068
0.6472,0.6419,0.7644,0.2261,0.3148
0.6577,0.6538,0.7562,0.2329,0.3227
0.6681,0.6532,0.7620,0.2398,0.3307
0.6786,0.6803,0.7563,0.2469,0.3386
0.6890,0.6655,0.7648,0.2538,0.3466
0.6994,0.6894,0.7556,0.2610,0.3544
0.7099,0.6879,0.7573,0.2682,0.3623
0.7203,0.6895,0.7525,0.2754,0.3702
0.7309,0.6985,0.7504,0.2828,0.3781
0.7415,0.7022,0.7542,0.2902,0.3861
0.7524,0.6957,0.7402,0.2978,0.3942
0.7630,0.6961,0.7546,0.3052,0.4022
0.7736,0.7018,0.7343,0.3126,0.4100
0.7843,0.8754,0.9402,0.3220,0.4200
0.7975,0.5589,0.5875,0.3294,0.4278
0.8082,0.7053,0.7313,0.3369,0.4356
0.8191,0.6966,0.7346,0.3445,0.4436
0.8297,0.7058,0.7253,0.3519,0.4513
0.8406,0.6937,0.7315,0.3595,0.4593
0.8512,0.7049,0.7311,0.3670,0.4670
0.8618,0.7079,0.7274,0.3745,0.4747
0.8727,0.7115,0.7146,0.3822,0.4825
0.8833,0.7157,0.7255,0.3898,0.4902
0.8939,0.7121,0.7121,0.3974,0.4977
0.9048,0.7228,0.7165,0.4052,0.5055
0.9153,0.7153,0.6957,0.4128,0.5129
0.9262,0.7246,0.7182,0.4207,0.5207
0.9375,0.7279,0.7002,0.4289,0.5286
0.9481,0.7687,0.7395,0.4371,0.5365
0.9599,0.6867,0.6604,0.4452,0.5443
0.9705,0.7243,0.6884,0.4528,0.5515
0.9811,0.7291,0.6998,0.4606,0.5590
0.9917,0.7539,0.7149,0.4686,0.5666
1.0028,0.7035,0.6566,0.4763,0.5738
1.0137,0.7068,0.6721,0.4841,0.5812
1.0245,0.7182,0.6701,0.4918,0.5884
1.0351,0.7223,0.6833,0.4995,0.5956
1.0457,0.7207,0.6720,0.5071,0.6028
1.0563,0.7111,0.6754,0.5147,0.6099
1.0670,0.7167,0.6843,0.5223,0.6172
1.0776,0.7254,0.6864,0.5300,0.6245
1.0880,0.7020,0.6920,0.5373,0.6317
1.0986,0.7100,0.7068,0.5448,0.6392
1.1091,0.7070,0.7037,0.5522,0.6466
1.1197,0.6985,0.6985,0.5597,0.6540
1.1304,0.6951,0.7178,0.5671,0.6616
1.1410,0.6984,0.7114,0.5745,0.6692
1.1516,0.6948,0.7078,0.5819,0.6767
1.1622,0.6921,0.7149,0.5892,0.6843
1.1728,0.7038,0.7136,0.5967,0.6919
1.1834,0.6963,0.7191,0.6041,0.6995
1.1940,0.6972,0.7070,0.6115,0.7070
1.2046,0.7023,0.7056,0.6189,0.7145
1.2152,0.7008,0.7138,0.6263,0.7220
1.2259,0.7136,0.7071,0.6339,0.7296
1.2365,0.7024,0.7121,0.6414,0.7371
1.2471,0.7113,0.7081,0.6489,0.7447
1.2577,0.7084,0.7116,0.6565,0.7522
1.2684,0.7109,0.7044,0.6640,0.7597
1.2790,0.7198,0.7035,0.6717,0.7672
1.2896,0.7095,0.7128,0.6792,0.7747
1.3002,0.7122,0.7024,0.6867,0.7822
1.3108,0.7105,0.7039,0.6943,0.7896
1.3214,0.7183,0.6988,0.7019,0.7970
1.3318,0.7125,0.7257,0.7093,0.8046
1.3424,0.7070,0.7103,0.7168,0.8122
1.3530,0.7109,0.7142,0.7244,0.8197
1.3636,0.7030,0.7226,0.7318,0.8274
1.3742,0.7024,0.7154,0.7393,0.8350
1.3849,0.6920,0.7278,0.7466,0.8427
1.3955,0.6945,0.7108,0.7540,0.8503
1.4061,0.6972,0.7102,0.7614,0.8578
1.4167,0.6918,0.7146,0.7687,0.8654
1.4273,0.6987,0.7248,0.7761,0.8730
1.4379,0.6958,0.7218,0.7835,0.8807
1.4483,0.7054,0.7087,0.7909,0.8881
1.4590,0.7026,0.7220,0.7984,0.8958
1.4696,0.6991,0.7121,0.8058,0.9033
1.4802,0.7120,0.7152,0.8133,0.9109
1.4908,0.7035,0.7100,0.8208,0.9185
1.5014,0.7189,0.7124,0.8284,0.9260
1.5121,0.7086,0.7054,0.8360,0.9336
1.5228,0.7198,0.7102,0.8437,0.9412
1.5335,0.7178,0.7178,0.8513,0.9488
1.5441,0.7084,0.6986,0.8589,0.9562
1.5547,0.7160,0.7095,0.8665,0.9638
1.5653,0.7106,0.7041,0.8740,0.9712
1.5759,0.7150,0.7150,0.8816,0.9788
