Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0105,0.0000,0.0000,0.0000,0.0000
0.0210,0.0000,0.0000,0.0000,0.0000
0.0315,0.0066,0.0000,0.0001,0.0000
0.0419,0.0199,0.0033,0.0003,0.0000
0.0523,0.0299,0.0033,0.0006,0.0001
0.0627,0.0431,0.0066,0.0010,0.0001
0.0731,0.0531,0.0100,0.0016,0.0002
0.0835,0.0695,0.0132,0.0023,0.0004
0.0939,0.0828,0.0132,0.0032,0.0005
0.1043,0.0865,0.0166,0.0041,0.0007
0.1147,0.0928,0.0265,0.0050,0.0010
0.1252,0.0991,0.0363,0.0061,0.0013
0.1355,0.1097,0.0532,0.0072,0.0019
0.1460,0.1128,0.0663,0.0084,0.0026
0.1564,0.1159,0.0729,0.0096,0.0033
0.1667,0.1330,0.0898,0.0110,0.0043
0.1772,0.1455,0.1025,0.0125,0.0053
0.1876,0.1459,0.1193,0.0140,0.0066
0.1980,0.1530,0.1264,0.0156,0.0079
0.2084,0.1592,0.1359,0.0173,0.0093
0.2188,0.1658,0.1492,0.0190,0.0109
0.2292,0.1788,0.1523,0.0208,0.0125
0.2396,0.1826,0.1626,0.0227,0.0142
0.2500,0.1886,0.1655,0.0247,0.0159
0.2604,0.1894,0.1694,0.0267,0.0176
0.2708,0.1990,0.1758,0.0288,0.0195
0.2812,0.2057,0.1858,0.0309,0.0214
0.2916,0.2094,0.1895,0.0331,0.0234
0.3020,0.2155,0.1956,0.0353,0.0254
0.3124,0.2221,0.2022,0.0376,0.0275
0.3228,0.2229,0.2096,0.0399,0.0297
0.3332,0.2256,0.2124,0.0423,0.0319
0.3436,0.2326,0.2160,0.0447,0.0341
0.3540,0.2363,0.2163,0.0471,0.0364
0.3644,0.2327,0.2261,0.0496,0.0387
0.3748,0.2455,0.2322,0.0521,0.0411
0.3852,0.2454,0.2321,0.0547,0.0436
0.3956,0.2492,0.2426,0.0573,0.0461
0.4060,0.2554,0.2388,0.0599,0.0486
0.4164,0.2559,0.2426,0.0626,0.0511
0.4267,0.2625,0.2459,0.0653,0.0536
0.4372,0.2580,0.2547,0.0680,0.0563
0.4476,0.2683,0.2584,0.0708,0.0590
0.4580,0.2725,0.2625,0.0736,0.0617
0.4684,0.2752,0.2719,0.0765,0.0645
0.4788,0.2829,0.2696,0.0794,0.0673
0.4892,0.2742,0.2708,0.0823,0.0702
0.4996,0.2718,0.2817,0.0851,0.0731
0.5100,0.2828,0.2795,0.0880,0.0760
0.5204,0.2853,0.2919,0.0910,0.0790
0.5308,0.2856,0.2956,0.0940,0.0821
0.5412,0.2917,0.2950,0.0970,0.0852
0.5516,0.2919,0.2985,0.1001,0.0883
0.5620,0.2884,0.3017,0.1031,0.0914
0.5724,0.2957,0.3057,0.1061,0.0946
0.5828,0.3020,0.3119,0.1093,0.0978
0.5932,0.2985,0.3151,0.1124,0.1011
0.6036,0.2989,0.3155,0.1155,0.1044
0.6140,0.3011,0.3176,0.1186,0.1077
0.6247,0.3009,0.3235,0.1218,0.1112
0.6351,0.3016,0.3215,0.1250,0.1145
0.6457,0.3122,0.3187,0.1283,0.1179
0.6563,0.3159,0.3290,0.1316,0.1214
0.6669,0.3063,0.3291,0.1349,0.1249
0.6775,0.3095,0.3323,0.1382,0.1284
0.6881,0.3191,0.3419,0.1415,0.1320
0.6987,0.3173,0.3369,0.1449,0.1356
0.7093,0.3188,0.3383,0.1483,0.1392
0.7199,0.3191,0.3321,0.1517,0.1427
0.7303,0.3181,0.3380,0.1550,0.1462
0.7409,0.3223,0.3516,0.1584,0.1499
0.7513,0.3213,0.3511,0.1617,0.1536
0.7617,0.3244,0.3443,0.1651,0.1572
0.7723,0.3257,0.3420,0.1686,0.1608
0.7827,0.3283,0.3448,0.1720,0.1644
0.7932,0.3306,0.3603,0.1754,0.1682
0.8038,0.3258,0.3551,0.1789,0.1719
0.8142,0.3249,0.3581,0.1823,0.1756
0.8246,0.3316,0.3581,0.1857,0.1794
0.8352,0.3287,0.3580,0.1892,0.1832
0.8456,0.3313,0.3644,0.1927,0.1870
0.8561,0.3341,0.3705,0.1961,0.1908
0.8667,0.3352,0.3580,0.1997,0.1946
0.8786,0.3365,0.3684,0.2037,0.1990
0.8891,0.3353,0.3780,0.2072,0.2030
0.8997,0.3316,0.3739,0.2107,0.2069
0.9104,0.3483,0.3902,0.2145,0.2111
0.9215,0.3302,0.3613,0.2181,0.2151
0.9322,0.3398,0.3782,0.2218,0.2192
0.9430,0.3375,0.3825,0.2254,0.2233
